count,mean,std,min,25%,50%,75%,max,missing,unique,dataset,feature
374.0,85.60420320855616,1.2599112809271018,78.324,85.80699999999999,85.80699999999999,85.80699999999999,88.99799999999999,0,70,Surface Water Storage (2014-2020),normal
374.0,79.59175935828875,1.5464119365787197,70.72400000000012,79.695,79.695,79.695,85.01,0,73,Surface Water Storage (2014-2020),moderately_low
374.0,72.11967245989302,2.6957121665320782,59.88,72.3475,72.3475,72.3475,81.0825,0,73,Surface Water Storage (2014-2020),low
374.0,64.04286898395723,1.8300668757321508,55.82,64.2245,64.2245,64.2245,69.59899999999999,0,72,Surface Water Storage (2014-2020),very_low
374.0,70.5290004416623,10.022373868178049,48.30667806433605,64.75041008506416,72.28736613306177,77.44518097754788,92.04918897756286,0,315,Surface Water Storage (2014-2020),2018_2019
374.0,67.48141258637027,8.384409651242198,48.42032173647532,63.09951720171815,68.0609766986763,73.11043979476702,83.06487617522856,0,275,Surface Water Storage (2014-2020),2019_2020
11.0,2.861818181818182,0.20629193788503625,2.51,2.79,2.87,3.03,3.14,0,11,Total Households_ 2026_04_21,hh_density
11.0,2.861818181818182,0.20629193788503625,2.51,2.79,2.87,3.03,3.14,0,11,Total Population_ 2026_04_21,hh_density
7.0,76.85714285714286,74.44556976169137,30.0,41.0,54.0,64.5,243.0,0,7,Verified - River Flow ( National ),flow_level
11.0,70.01545454545455,25.119231422810834,20.0,57.5,72.39,91.5,100.0,0,11,Vulnerability Score Per leg_ 2026_04_21,1__water_services_planning
11.0,53.48500000000001,23.56447039506723,15.0,45.0,49.445,74.0,87.0,0,9,Vulnerability Score Per leg_ 2026_04_21,4__technical_staff_capacity__numbers
11.0,72.09636363636363,11.429529537760748,55.0,63.28,77.5,80.0,84.0,0,6,Vulnerability Score Per leg_ 2026_04_21,6__water_conservation___water_demand_management__wc_wdm
11.0,77.07545454545455,16.030963391909022,55.0,65.0,75.61,89.0,100.0,0,10,Vulnerability Score Per leg_ 2026_04_21,7__drinking_water_safety___regulatory_compliance
11.0,68.10636363636364,18.277238452636805,45.0,55.0,62.5,79.33500000000001,99.0,0,10,Vulnerability Score Per leg_ 2026_04_21,10__infrastructure_asset_management__iam
