quaternary,reserve_study,available__gra2_m3_a,recharge__gwr_m3_a,reserve__gwr_m3_a,abstracted__warms_m3_a,surplus__gra2_m3_a,surplus__gwr_m3_a
U10M,1,3 196 340,10 740 000,229 070 000,0,3 196 340,- 218 330 000
U20A,1,9 248 270,19 240 000,8 810 000,12 848,9 235 422,10 417 152
U20B,1,7 709 130,19 020 000,29 180 000,476 483,7 232 647,-10 636 483
U20C,1,5 087 510,22 000 000,21 260 000,152 024,4 935 486,587 976
U20D,1,7 461 880,18 340 000,28 220 000,421 043,7 040 837,-10 301 043
U20E,1,5 517 770,21 840 000,69 600 000,460 540,5 057 230,-48 220 540
U20F,1,6 448 750,21 420 000,16 320 000,213 712,6 235 038,4 886 288
U20G,1,4 681 550,23 720 000,22 230 000,316 531,4 365 019,1 173 469
U20H,1,4 671 630,14 620 000,12 110 000,0,4 671 630,2 510 000
U20J,1,6 600 920,24 290 000,21 750 000,230 112,6 370 808,2 309 888
U20K,1,3 175 350,13 500 000,12 750 000,54 106,3 121 244,695 894
U20L,1,2 184 760,12 130 000,4 050 000,13 217,2 171 543,8 066 783
U20M,1,8 007 490,21 600 000,121 100 000,691 932,7 315 558,- 100 191 932
U30A,1,5 949 150,20 030 000,12 130 000,113 070,5 836 080,7 786 930
U30B,1,5 758 220,12 980 000,6 470 000,546 919,5 211 301,5 963 081
U30C,1,4 051 450,13 140 000,5 030 000,418 472,3 632 978,7 691 528
U30D,1,4 398 220,9 360 000,3 590 000,222 713,4 175 507,5 547 287
U30E,1,6 355 360,16 330 000,8 320 000,8 753 576,-2 398 216,- 743 576
U40A,1,5 191 140,22 820 000,6 410 000,2 907,5 188 233,16 407 093
U40B,1,2 749 660,19 740 000,10 620 000,310 573,2 439 087,8 809 427
U40C,1,2 547 220,12 850 000,9 660 000,843 692,1 703 528,2 346 308
U40D,1,2 240 630,12 850 000,9 400 000,102 643,2 137 987,3 347 357
U40E,1,2 662 670,13 880 000,37 440 000,133 660,2 529 010,-23 693 660
U40F,1,1 929 690,14 610 000,2 990 000,295 828,1 633 862,11 324 172
U40G,1,2 197 550,12 020 000,14 460 000,65 992,2 131 558,-2 505 992
U40H,1,4 203 560,15 700 000,59 640 000,49 275,4 154 285,-43 989 275
U40J,1,5 887 850,15 250 000,39 990 000,665 838,5 222 012,-25 405 838
U50A,1,8 615 340,14 380 000,6 750 000,1 388 650,7 226 690,6 241 350
U60A,1,2 491 480,7 610 000,4 010 000,6 000,2 485 480,3 594 000
U60B,1,4 866 460,15 330 000,5 950 000,145 745,4 720 715,9 234 255
U60C,1,4 619 440,14 780 000,10 440 000,606 350,4 013 090,3 733 650
U60D,1,4 464 780,9 700 000,2 230 000,266 336,4 198 444,7 203 664
U60E,1,6 143 020,14 540 000,7 490 000,82 904,6 060 116,6 967 096
U60F,1,7 519 620,17 590 000,14 500 000,715 728,6 803 892,2 374 272
U70A,1,2 991 090,12 430 000,5 120 000,296 303,2 694 787,7 013 697
U70B,1,3 311 640,14 240 000,6 400 000,185 297,3 126 343,7 654 703
U70C,1,4 451 840,14 820 000,9 650 000,157 735,4 294 105,5 012 265
U70D,1,4 405 060,17 580 000,5 990 000,14 270,4 390 790,11 575 730
U70E,1,1 959 980,4 770 000,3 220 000,13 000,1 946 980,1 537 000
U70F,1,1 369 640,3 540 000,2 290 000,10 927,1 358 713,1 239 073
U80A,1,3 625 820,9 900 000,3 530 000,5 991,3 619 829,6 364 009
U80B,1,2 695 080,16 480 000,6 140 000,0,2 695 080,10 340 000
U80C,1,3 727 390,9 650 000,6 080 000,398 087,3 329 303,3 171 913
U80D,1,3 251 970,7 640 000,2 950 000,23 265,3 228 705,4 666 735
U80E,1,4 259 960,28 000 000,8 200 000,243 139,4 016 821,19 556 861
U80F,1,2 851 200,7 680 000,3 910 000,4 906,2 846 294,3 765 094
U80G,1,4 444 830,12 510 000,11 020 000,46 130,4 398 700,1 443 870
U80H,1,5 478 280,14 940 000,12 860 000,334 600,5 143 680,1 745 400
U80J,1,3 593 900,14 670 000,7 450 000,231,3 593 669,7 219 769
U80K,1,3 606 690,8 720 000,5 560 000,140 160,3 466 530,3 019 840
U80L,1,2 643 920,5 460 000,3 600 000,550,2 643 370,1 859 450
V11A,1,11 120 800,28 163 228,47 810 750,6 500,11 114 300,-19 654 022
V11B,1,15 271 000,41 469 342,52 398 300,14 892,15 256 108,-10 943 850
V11C,1,9 318 370,22 100 000,25 300 000,30 660,9 287 710,-3 230 660
V11D,1,4 575 850,17 320 000,3 540 000,7 884,4 567 966,13 772 116
V11E,0,7 823 330,Unknown,Unknown,0,7 823 330,Unknown
V11F,1,1 818 020,10 445 500,4 329 010,3 000,1 815 020,6 113 490
V11G,0,17 013 700,Unknown,Unknown,0,17 013 700,Unknown
V11H,0,3 586 740,Unknown,Unknown,0,3 586 740,Unknown
V11J,0,2 332 030,Unknown,Unknown,0,2 332 030,Unknown
V11K,1,3 547 880,16 042 000,13 310 580,22 258,3 525 622,2 709 162
V11L,1,2 708 470,20 260 500,8 421 900,34 675,2 673 795,11 803 925
V11M,0,1 662 640,Unknown,Unknown,0,1 662 640,Unknown
V12A,1,4 769 050,19 961 500,11 212 190,4 065,4 764 985,8 745 245
V12B,1,3 601 310,17 660 000,9 170 000,162 248,3 439 062,8 327 752
V12C,0,1 689 270,Unknown,Unknown,75,1 689 195,Unknown
V12D,1,4 814 520,16 541 240,8 822 450,500,4 814 020,7 718 290
V12E,1,3 479 660,21 086 000,7 299 340,520,3 479 140,13 786 140
V12F,1,3 052 920,21 606 000,7 390 000,135 190,2 917 730,14 080 810
V12G,1,4 734 610,32 883 500,9 667 770,9 929,4 724 681,23 205 801
V13A,0,9 333 550,Unknown,Unknown,0,9 333 550,Unknown
V13B,1,6 782 310,27 911 000,19 343 200,71 302,6 711 008,8 496 498
V13C,0,3 927 720,Unknown,Unknown,2 920,3 924 800,Unknown
V13D,1,4 527 770,26 923 000,9 543 330,27 705,4 500 065,17 351 965
V13E,1,3 067 910,12 640 500,3 467 050,23 700,3 044 210,9 149 750
V14A,0,2 020 020,Unknown,Unknown,20 775,1 999 245,Unknown
V14B,0,1 584 320,Unknown,Unknown,3 000,1 581 320,Unknown
V14C,1,1 871 780,12 688 000,3 096 960,8 800,1 862 980,9 582 240
V14D,1,4 231 970,41 067 000,12 785 820,10 567,4 221 403,28 270 613
V14E,0,2 861 050,Unknown,Unknown,0,2 861 050,Unknown
V20A,1,8 470 560,25 374 500,15 421 790,4 200,8 466 360,9 948 510
V20B,1,5 608 000,18 078 500,9 866 190,184 251,5 423 749,8 028 059
V20C,1,5 497 570,17 850 500,9 404 060,33 044,5 464 526,8 413 396
V20D,1,4 654 100,28 424 000,8 602 320,272 695,4 381 405,19 548 985
V20E,1,5 000 040,56 876 500,9 731 080,67 005,4 933 035,47 078 415
V20F,0,2 441 530,Unknown,Unknown,126 071,2 315 459,Unknown
V20G,0,2 312 720,Unknown,Unknown,0,2 312 720,Unknown
V20H,1,3 042 680,57 323 000,8 718 950,210 402,2 832 278,48 393 648
V20J,0,1 966 690,Unknown,Unknown,0,1 966 690,Unknown
V31A,1,9 350 600,36 770 000,17 820 000,0,9 350 600,18 950 000
V31B,1,6 400 300,32 844 500,32 404 190,91 099,6 309 201,349 211
V31C,1,4 005 190,25 733 500,13 236 890,217 931,3 787 259,12 278 679
V31D,1,4 797 710,30 361 500,8 930 000,208 716,4 588 994,21 222 784
V31E,1,10 112 100,54 203 500,27 081 090,55 264,10 056 836,27 067 146
V31F,1,2 115 160,8 590 000,5 190 000,173 258,1 941 902,3 226 742
V31G,1,2 249 530,16 555 500,2 926 310,138 963,2 110 567,13 490 227
V31H,0,1 979 600,Unknown,Unknown,60 360,1 919 240,Unknown
V31J,0,4 605 240,Unknown,Unknown,202 270,4 402 970,Unknown
V31K,1,2 262 160,14 735 500,4 290 470,1 010 039,1 252 121,9 434 991
V32A,0,3 076 030,Unknown,Unknown,0,3 076 030,Unknown
V32B,1,5 417 530,36 198 500,5 803 350,900 313,4 517 217,29 494 837
V32C,1,4 056 940,40 943 500,10 219 070,728 963,3 327 977,29 995 467
V32D,1,4 260 260,26 545 500,9 011 920,32 623,4 227 637,17 500 957
V32E,1,7 515 810,50 914 500,6 670 190,897 653,6 618 157,43 346 657
V32F,1,1 637 940,9 063 000,3 057 760,339 039,1 298 901,5 666 201
V32G,1,6 793 020,35 379 500,9 040 680,51 913,6 741 107,26 286 907
V32H,1,3 266 290,23 283 000,3 788 000,167 436,3 098 854,19 327 564
V33A,1,4 249 490,25 960 500,5 755 420,43 600,4 205 890,20 161 480
V33B,0,2 785 650,Unknown,Unknown,0,2 785 650,Unknown
V33C,0,3 550 170,Unknown,Unknown,0,3 550 170,Unknown
V33D,0,3 752 700,Unknown,Unknown,0,3 752 700,Unknown
V40A,0,4 314 970,Unknown,Unknown,5 874,4 309 096,Unknown
V40B,1,2 280 570,18 999 500,5 688 060,500,2 280 070,13 310 940
V40C,0,4 213 770,Unknown,Unknown,132 451,4 081 319,Unknown
V40D,0,2 647 630,Unknown,Unknown,0,2 647 630,Unknown
V40E,0,1 669 200,Unknown,Unknown,0,1 669 200,Unknown
V50A,1,2 580 900,26 578 500,7 145 170,354 030,2 226 870,19 079 300
V50B,1,3 001 890,24 947 000,7 462 430,999 583,2 002 307,16 484 987
V50C,1,7 627 160,29 181 103,19 823 620,60 565,7 566 595,9 296 918
V50D,0,3 284 990,Unknown,Unknown,195,3 284 795,Unknown
V60A,0,1 512 790,Unknown,Unknown,0,1 512 790,Unknown
V60B,1,7 050 400,35 860 500,7 489 760,4 000,7 046 400,28 366 740
V60C,0,3 334 630,Unknown,Unknown,0,3 334 630,Unknown
V60D,1,3 839 720,20 013 500,8 805 600,1 752,3 837 968,11 206 148
V60E,1,4 197 080,33 624 000,10 336 580,14 445,4 182 635,23 272 975
V60F,0,4 213 670,Unknown,Unknown,0,4 213 670,Unknown
V60G,0,2 738 260,Unknown,Unknown,0,2 738 260,Unknown
V60H,1,2 613 790,13 493 298,2 783 370,31 000,2 582 790,10 678 928
V60J,1,1 915 910,9 493 913,2 411 520,23 940,1 891 970,7 058 453
V60K,0,1 560 650,Unknown,Unknown,40 000,1 520 650,Unknown
V70A,0,10 519 200,Unknown,Unknown,0,10 519 200,Unknown
V70B,0,4 135 350,Unknown,Unknown,0,4 135 350,Unknown
V70C,1,5 581 770,32 442 500,20 615 890,3 825,5 577 945,11 822 785
V70D,0,2 441 710,Unknown,Unknown,21 900,2 419 810,Unknown
V70E,0,891 403,Unknown,Unknown,11 498,879 906,Unknown
V70F,1,1 645 510,23 692 500,3 226 700,72 829,1 572 681,20 392 971
V70G,0,2 232 460,Unknown,Unknown,0,2 232 460,Unknown
W11A,0,9 010 630,Unknown,Unknown,262 768,8 747 862,Unknown
W11B,0,3 190 130,Unknown,Unknown,0,3 190 130,Unknown
W11C,1,12 475 400,40 680 000,9 040 000,101 984,12 373 417,31 538 017
W12A,0,4 391 170,Unknown,Unknown,91 728,4 299 442,Unknown
W12B,0,7 232 170,Unknown,Unknown,40 000,7 192 170,Unknown
W12C,0,3 816 110,Unknown,Unknown,35 505,3 780 605,Unknown
W12D,0,1 792 470,Unknown,Unknown,172 206,1 620 264,Unknown
W12E,0,4 370 490,Unknown,Unknown,0,4 370 490,Unknown
W12F,1,13 791 200,55 380 000,12 460 000,632 284,13 158 916,42 287 716
W12G,0,2 355 280,Unknown,Unknown,4 000,2 351 280,Unknown
W12H,1,10 533 800,46 320 000,10 960 000,413 001,10 120 799,34 946 999
W12J,1,16 832 300,47 300 000,16 140 000,0,16 832 300,31 160 000
W13A,0,7 316 520,Unknown,Unknown,601 700,6 714 820,Unknown
W13B,1,8 028 260,31 100 000,21 560 000,8 168,8 020 092,9 531 832
W21A,0,3 944 790,Unknown,Unknown,2 423 642,1 521 148,Unknown
W21B,0,5 619 450,Unknown,Unknown,112 860,5 506 590,Unknown
W21C,0,2 054 770,Unknown,Unknown,78 717,1 976 053,Unknown
W21D,0,2 422 360,Unknown,Unknown,0,2 422 360,Unknown
W21E,0,2 442 370,Unknown,Unknown,390 000,2 052 370,Unknown
W21F,0,1 486 050,Unknown,Unknown,12 410,1 473 640,Unknown
W21G,0,4 324 990,Unknown,Unknown,81 765,4 243 225,Unknown
W21H,0,3 876 580,Unknown,Unknown,7 700,3 868 880,Unknown
W21J,0,4 802 260,Unknown,Unknown,59 130,4 743 130,Unknown
W21K,1,4 551 150,19 800 000,10 100 000,3 163,4 547 987,9 696 837
W21L,0,2 827 170,Unknown,Unknown,5 256,2 821 914,Unknown
W22A,0,2 776 000,Unknown,Unknown,153 800,2 622 200,Unknown
W22B,0,2 124 790,Unknown,Unknown,10 000,2 114 790,Unknown
W22C,0,2 084 840,Unknown,Unknown,0,2 084 840,Unknown
W22D,0,1 519 960,Unknown,Unknown,0,1 519 960,Unknown
W22E,0,6 694 290,Unknown,Unknown,168 730,6 525 560,Unknown
W22F,0,1 883 820,Unknown,Unknown,0,1 883 820,Unknown
W22G,0,1 152 570,Unknown,Unknown,1 570,1 151 000,Unknown
W22H,0,1 875 510,Unknown,Unknown,533 169,1 342 341,Unknown
W22J,1,2 403 730,12 600 000,3 360 000,913,2 402 817,9 239 087
W22K,1,2 181 350,10 500 000,5 600 000,1 179 405,1 001 945,3 720 595
W22L,0,904 647,Unknown,Unknown,0,904 647,Unknown
W23A,1,1 867 790,16 580 000,13 630 000,523 526,1 344 264,2 426 474
W23B,0,2 194 810,Unknown,Unknown,24 000,2 170 810,Unknown
W23C,0,11 957 600,Unknown,Unknown,360,11 957 240,Unknown
W23D,1,6 592 290,26 310 000,8 530 000,546 455,6 045 835,17 233 545
W31A,1,3 444 160,18 510 000,3 220 000,1 159 800,2 284 360,14 130 200
W31B,0,2 514 650,Unknown,Unknown,0,2 514 650,Unknown
W31C,0,1 837 760,Unknown,Unknown,35 500,1 802 260,Unknown
W31D,0,2 229 160,Unknown,Unknown,135 000,2 094 160,Unknown
W31E,0,1 392 520,Unknown,Unknown,0,1 392 520,Unknown
W31F,0,1 690 570,Unknown,Unknown,2 842,1 687 728,Unknown
W31G,0,1 511 240,Unknown,Unknown,65 360,1 445 880,Unknown
W31H,1,619 163,6 450 000,1 740 000,153,619 010,4 709 847
W31J,0,2 428 070,Unknown,Unknown,10 000,2 418 070,Unknown
W31K,0,2 784 110,Unknown,Unknown,45 851,2 738 259,Unknown
W31L,0,1 162 350,Unknown,Unknown,0,1 162 350,Unknown
W32A,0,3 929 280,Unknown,Unknown,0,3 929 280,Unknown
W32B,0,28 984 700,Unknown,Unknown,38 310,28 946 390,Unknown
W32C,0,3 586 420,Unknown,Unknown,19 085,3 567 335,Unknown
W32D,0,1 913 580,Unknown,Unknown,53 290,1 860 290,Unknown
W32E,0,3 111 970,Unknown,Unknown,16 350,3 095 620,Unknown
W32F,0,477 663,Unknown,Unknown,14 380,463 283,Unknown
W32G,0,7 893 870,Unknown,Unknown,81 756,7 812 114,Unknown
W32H,0,26 503 000,Unknown,Unknown,354 968,26 148 032,Unknown
W41A,0,5 323 940,Unknown,Unknown,0,5 323 940,Unknown
W41B,1,7 562 330,25 930 000,10 640 000,12 600,7 549 730,15 277 400
W41C,0,5 162 620,Unknown,Unknown,5 962,5 156 658,Unknown
W41D,0,4 858 430,Unknown,Unknown,0,4 858 430,Unknown
W41E,0,6 496 930,Unknown,Unknown,22 500,6 474 430,Unknown
W41F,1,5 593 790,25 930 000,10 640 000,52 800,5 540 990,15 237 200
W41G,0,973 317,Unknown,Unknown,0,973 317,Unknown
W42A,0,13 053 000,Unknown,Unknown,121 220,12 931 780,Unknown
W42B,0,10 202 300,Unknown,Unknown,199 332,10 002 968,Unknown
W42C,0,11 637 500,Unknown,Unknown,0,11 637 500,Unknown
W42D,0,10 767 700,Unknown,Unknown,0,10 767 700,Unknown
W42E,0,4 375 820,Unknown,Unknown,0,4 375 820,Unknown
W42F,0,5 594 180,Unknown,Unknown,339 538,5 254 642,Unknown
W42G,0,3 591 710,Unknown,Unknown,2 985,3 588 725,Unknown
W42H,0,2 992 190,Unknown,Unknown,20 005,2 972 185,Unknown
W42J,0,2 714 750,Unknown,Unknown,52 000,2 662 750,Unknown
W42L,0,2 165 950,Unknown,Unknown,0,2 165 950,Unknown
W42M,0,2 654 460,Unknown,Unknown,500,2 653 960,Unknown
W43F,0,2 902 460,Unknown,Unknown,0,2 902 460,Unknown
W44A,0,1 261 320,Unknown,Unknown,0,1 261 320,Unknown
W44B,0,1 800 720,Unknown,Unknown,116 333,1 684 387,Unknown
W44D,0,559 533,Unknown,Unknown,1 825,557 708,Unknown
W44E,0,1 140 770,Unknown,Unknown,0,1 140 770,Unknown
W45A,0,3 495 840,Unknown,Unknown,62 863,3 432 977,Unknown
W45B,0,2 887 720,Unknown,Unknown,0,2 887 720,Unknown
W57K,0,391 889,Unknown,Unknown,0,391 889,Unknown
W70A,0,62 589 200,Unknown,Unknown,1 823 297,60 765 903,Unknown
W42K,0,4 204 210,Unknown,Unknown,509 186,3 695 024,Unknown
W43A,0,0,Unknown,Unknown,0,0,Unknown
W43B,0,0,Unknown,Unknown,0,0,Unknown
W43C,0,63 307,Unknown,Unknown,0,63 307,Unknown
W43D,0,0,Unknown,Unknown,0,0,Unknown
W43E,0,0,Unknown,Unknown,0,0,Unknown
W44C,0,318 323,Unknown,Unknown,0,318 323,Unknown
W51E,0,524 289,Unknown,Unknown,130 156,394 133,Unknown
W51G,0,0,Unknown,Unknown,0,0,Unknown
W51H,0,0,Unknown,Unknown,0,0,Unknown
W53E,0,4 008 130,Unknown,Unknown,17 098,3 991 032,Unknown
W53F,0,44 334,Unknown,Unknown,0,44 334,Unknown
W53G,0,0,Unknown,Unknown,0,0,Unknown
W54E,0,529 693,Unknown,Unknown,0,529 693,Unknown
W54F,0,0,Unknown,Unknown,0,0,Unknown
W54G,0,0,Unknown,Unknown,0,0,Unknown
W55E,0,115 256,Unknown,Unknown,0,115 256,Unknown
W56B,0,2 049 690,Unknown,Unknown,0,2 049 690,Unknown
W56C,0,0,Unknown,Unknown,0,0,Unknown
W56D,0,0,Unknown,Unknown,0,0,Unknown
W56E,0,0,Unknown,Unknown,0,0,Unknown
W56F,0,0,Unknown,Unknown,0,0,Unknown
W57A,0,0,Unknown,Unknown,0,0,Unknown
W57B,0,0,Unknown,Unknown,0,0,Unknown
W57C,0,0,Unknown,Unknown,0,0,Unknown
W57D,0,0,Unknown,Unknown,0,0,Unknown
W57E,0,0,Unknown,Unknown,0,0,Unknown
W57F,0,0,Unknown,Unknown,0,0,Unknown
W57G,0,0,Unknown,Unknown,0,0,Unknown
W57H,0,0,Unknown,Unknown,0,0,Unknown
W57J,0,515 744,Unknown,Unknown,0,515 744,Unknown
W60A,0,0,Unknown,Unknown,0,0,Unknown
W60B,0,0,Unknown,Unknown,0,0,Unknown
W60C,0,0,Unknown,Unknown,0,0,Unknown
W60D,0,0,Unknown,Unknown,0,0,Unknown
W60E,0,0,Unknown,Unknown,0,0,Unknown
W60F,0,22 030,Unknown,Unknown,0,22 030,Unknown
W60G,0,0,Unknown,Unknown,0,0,Unknown
W60H,0,0,Unknown,Unknown,0,0,Unknown
W60J,0,0,Unknown,Unknown,0,0,Unknown
W60K,0,498 971,Unknown,Unknown,0,498 971,Unknown
X13A,0,339 085,Unknown,Unknown,0,339 085,Unknown
X13B,0,0,Unknown,Unknown,0,0,Unknown
X13C,0,0,Unknown,Unknown,0,0,Unknown
X13D,0,0,Unknown,Unknown,0,0,Unknown
X13E,0,0,Unknown,Unknown,0,0,Unknown
X13F,0,0,Unknown,Unknown,0,0,Unknown
X13G,0,0,Unknown,Unknown,0,0,Unknown
X13H,0,82 406,Unknown,Unknown,0,82 406,Unknown
X14C,0,0,Unknown,Unknown,0,0,Unknown
X14D,0,499 587,Unknown,Unknown,0,499 587,Unknown
X14E,0,225 247,Unknown,Unknown,0,225 247,Unknown
C11A,1,8 067 980,38 930 000,23 560 000,140 378,7 927 602,15 229 622
C11B,1,4 155 760,26 490 000,14 470 000,963 870,3 191 890,11 056 130
C11C,1,3 864 230,22 160 000,11 930 000,298 000,3 566 230,9 932 000
C11D,1,2 490 840,17 050 000,8 130 000,40 000,2 450 840,8 880 000
C11E,1,7 250 950,46 630 000,18 780 000,2 372,7 248 578,27 847 628
C11F,1,5 094 520,39 670 000,15 900 000,264 796,4 829 724,23 505 204
C11G,1,2 177 470,17 010 000,6 300 000,33 060,2 144 410,10 676 940
C11H,1,5 155 670,40 160 000,13 880 000,730 104,4 425 566,25 549 896
C11J,1,4 830 550,36 150 000,11 090 000,28 086,4 802 464,25 031 914
C11K,1,1 582 320,11 470 000,3 310 000,365 421,1 216 899,7 794 579
C11L,1,3 945 840,32 740 000,10 080 000,467 642,3 478 198,22 192 358
C11M,1,3 017 000,23 380 000,4 890 000,205 569,2 811 431,18 284 431
C12A,1,1 845 630,12 100 000,1 600 000,0,1 845 630,10 500 000
C12B,1,1 800 540,14 400 000,3 530 000,300 812,1 499 728,10 569 188
C12C,1,2 098 620,18 660 000,7 330 000,29 120,2 069 500,11 300 880
C12D,1,4 364 010,32 750 000,9 860 000,6 548 127,-2 184 117,16 341 873
C12E,1,2 211 940,16 870 000,5 030 000,24 676,2 187 264,11 815 324
C12F,1,3 945 760,29 460 000,10 050 000,911 338,3 034 422,18 498 662
C12G,1,3 467 170,21 200 000,8 100 000,2 986,3 464 184,13 097 014
C12H,1,1 621 240,11 260 000,9 010 000,23 500,1 597 740,2 226 500
C12J,1,1 223 560,9 670 000,590 000,35 538,1 188 022,9 044 462
C12K,1,3 584 610,19 930 000,7 570 000,33 099,3 551 511,12 326 901
C12L,1,5 148 960,31 990 000,11 590 000,32 786,5 116 174,20 367 214
C13A,1,4 864 720,27 180 000,11 880 000,9 288,4 855 432,15 290 712
C13B,1,2 883 030,21 930 000,6 310 000,30 674,2 852 356,15 589 326
C13C,1,6 345 350,35 960 000,14 590 000,15 600,6 329 750,21 354 400
C13D,1,4 953 860,32 670 000,9 820 000,0,4 953 860,22 850 000
C13E,1,3 760 200,21 940 000,6 320 000,3 226,3 756 974,15 616 774
C13F,1,2 931 900,19 250 000,5 020 000,44 010,2 887 890,14 185 990
C13G,1,2 139 170,14 140 000,3 160 000,252 400,1 886 770,10 727 600
C13H,1,1 176 810,15 360 000,2 200 000,1 189 227,-12 417,11 970 773
C21A,1,4 070 340,26 890 000,9 810 000,125 990,3 944 350,16 954 010
C21B,1,3 310 200,9 700 000,8 140 000,1 127 809,2 182 391,432 191
C21C,1,3 225 640,9 850 000,7 830 000,361 660,2 863 980,1 658 340
C21D,1,3 766 720,8 560 000,7 430 000,1 974 467,1 792 253,- 844 467
C21E,1,4 130 720,9 210 000,8 060 000,1 449 524,2 681 196,- 299 524
C21F,1,3 175 470,9 490 000,8 910 000,1 999 824,1 175 646,-1 419 824
C21G,1,3 412 650,9 380 000,8 090 000,188 952,3 223 698,1 101 048
C22A,1,5 464 260,19 560 000,11 770 000,1 492 194,3 972 066,6 297 806
C22B,1,2 956 320,11 220 000,5 270 000,5 307 582,-2 351 262,642 418
C22C,1,4 248 720,14 720 000,11 050 000,1 184 890,3 063 830,2 485 110
C22D,1,2 583 510,12 240 000,7 830 000,2 070 716,512 794,2 339 284
C22E,1,5 077 810,12 130 000,10 590 000,9 856 437,-4 778 627,-8 316 437
C22F,1,2 560 080,7 010 000,8 480 000,1 460 774,1 099 306,-2 930 774
C22G,1,2 545 720,25 770 000,20 000,597 707,1 948 013,25 152 293
C22H,1,3 460 600,9 350 000,7 380 000,480 282,2 980 318,1 489 718
C22J,1,6 076 810,15 250 000,11 030 000,4 154 733,1 922 077,65 267
C22K,1,2 700 480,18 270 000,8 390 000,949 720,1 750 760,8 930 280
C23A,1,1 197 640,7 390 000,1 050 000,7 811,1 189 829,6 332 189
C23B,1,7 961 860,27 630 000,8 160 000,1 669 147,6 292 713,17 800 853
C23C,1,15 158 600,23 130 000,15 340 000,606 544,14 552 056,7 183 456
C23D,1,3 888 070,25 790 000,7 440 000,61 416 812,-57 528 742,-43 066 812
C23E,1,4 070 220,7 170 000,11 930 000,78 313 974,-74 243 754,-83 073 974
C23F,1,7 456 470,31 340 000,15 890 000,5 788 898,1 667 572,9 661 102
C23G,1,2 243 030,27 180 000,9 020 000,4 512 459,-2 269 429,13 647 541
C23H,1,1 971 200,12 430 000,7 040 000,1 197 403,773 797,4 192 597
C23J,1,18 694 700,19 050 000,12 240 000,2 057 393,16 637 307,4 752 607
C23K,1,10 473 800,10 760 000,6 870 000,2 548 325,7 925 475,1 341 675
C23L,1,24 736 800,17 110 000,17 070 000,7 413 538,17 323 262,-7 373 538
C24A,1,11 677 800,18 600 000,50 000,4 301 489,7 376 311,14 248 511
C24B,1,5 999 720,16 310 000,3 840 000,14 273 688,-8 273 968,-1 803 688
C24C,1,5 680 380,96 980 000,13 320 000,36 682 582,-31 002 202,46 977 418
C24D,1,7 896 230,3 990 000,7 560 000,2 322 065,5 574 165,-5 892 065
C24E,1,10 965 700,21 870 000,6 010 000,3 870 636,7 095 064,11 989 364
C24F,1,19 538 900,55 910 000,13 900 000,36 434 567,-16 895 667,5 575 433
C24G,1,11 380 700,11 750 000,9 200 000,6 386 542,4 994 158,-3 836 542
C24H,1,9 145 080,10 810 000,3 690 000,1 987 328,7 157 752,5 132 672
C24J,1,22 996 900,22 310 000,10 470 000,2 176 505,20 820 395,9 663 495
C25A,1,7 411 070,12 490 000,2 910 000,742 314,6 668 756,8 837 686
C25B,1,10 596 600,18 160 000,5 030 000,13 033 261,-2 436 661,96 739
C25C,1,10 105 100,5 100 000,5 740 000,3 952 892,6 152 208,-4 592 892
C25D,1,9 003 430,1 250 000,500 000,1 876 788,7 126 642,-1 126 788
C25E,1,7 690 100,8 330 000,1 290 000,5 271 181,2 418 919,1 768 819
C25F,1,8 942 200,10 480 000,3 300 000,996 935,7 945 265,6 183 065
C31A,1,17 451 900,23 490 000,14 440 000,26 612 506,-9 160 606,-17 562 506
C31B,1,13 598 600,20 590 000,5 140 000,13 951 839,- 353 239,1 498 161
C31C,1,11 835 300,21 790 000,6 420 000,6 861 661,4 973 639,8 508 339
C31D,1,14 506 300,22 950 000,9 400 000,4 234 818,10 271 482,9 315 182
C31E,1,14 956 600,37 330 000,8 550 000,16 109 563,-1 152 963,12 670 437
C31F,1,5 872 180,12 460 000,1 350 000,6 344 013,- 471 833,4 765 987
C32A,1,5 972 260,8 620 000,1 560 000,7 087 582,-1 115 322,-27 582
C32B,1,24 649 300,31 220 000,8 120 000,35 653 087,-11 003 787,-12 553 087
C32C,1,6 440 910,15 300 000,3 130 000,6 169 180,271 730,6 000 820
C32D,1,39 352 400,60 260 000,22 230 000,12 792 618,26 559 782,25 237 382
C33A,1,12 990 000,35 290 000,3 840 000,3 098 934,9 891 066,28 351 066
C33B,1,18 680 900,34 060 000,2 810 000,1 242 324,17 438 576,30 007 676
C33C,1,31 736 900,35 060 000,11 850 000,1 371 425,30 365 475,21 838 575
C41A,1,5 044 410,9 040 000,3 400 000,85 018,4 959 392,5 554 982
C41B,1,6 110 360,9 510 000,3 330 000,65 348,6 045 012,6 114 652
C41C,1,6 978 500,10 090 000,3 240 000,378 707,6 599 793,6 471 293
C41D,1,3 915 380,4 940 000,2 350 000,653 379,3 262 001,1 936 621
C41E,1,558 515,620 000,2 770 000,105 965,452 550,-2 255 965
C41F,1,659 726,560 000,90 000,167 890,491 836,302 110
C41G,1,78 923,290 000,240 000,12 739,66 184,37 261
C41H,1,2 252 670,2 320 000,860 000,709 908,1 542 762,750 092
C41J,1,1 571 540,2 160 000,1 000 000,721 552,849 988,438 448
C42A,1,3 525 570,8 770 000,7 290 000,214 481,3 311 089,1 265 519
