quaternary,reserve_study,available__gra2_m3_a,recharge__gwr_m3_a,reserve__gwr_m3_a,abstracted__warms_m3_a,surplus__gra2_m3_a,surplus__gwr_m3_a
D12B,0,4 251 010,Unknown,Unknown,69 165,4 181 845,Unknown
D12C,0,3 432 210,Unknown,Unknown,0,3 432 210,Unknown
D12D,0,2 366 030,Unknown,Unknown,6 351,2 359 679,Unknown
D12E,1,5 542 130,11 050 000,1 730 000,1 056 753,4 485 377,8 263 247
D12F,0,4 378 890,Unknown,Unknown,184 023,4 194 867,Unknown
D13A,0,7 049 170,Unknown,Unknown,135 101,6 914 069,Unknown
D13B,0,7 351 560,Unknown,Unknown,5 838,7 345 722,Unknown
D13C,0,5 424 810,Unknown,Unknown,0,5 424 810,Unknown
D13D,0,5 907 000,Unknown,Unknown,880 998,5 026 002,Unknown
D13E,0,11 015 000,Unknown,Unknown,112 733,10 902 267,Unknown
D13F,0,9 345 120,Unknown,Unknown,46 000,9 299 120,Unknown
D13G,0,10 644 100,Unknown,Unknown,68 560,10 575 540,Unknown
D13H,0,7 092 240,Unknown,Unknown,49 400,7 042 840,Unknown
D13J,0,8 586 300,Unknown,Unknown,622 799,7 963 501,Unknown
D13K,0,3 873 920,Unknown,Unknown,160 912,3 713 008,Unknown
D13L,0,5 693 920,Unknown,Unknown,247 355,5 446 565,Unknown
D13M,1,4 221 320,15 800 000,1 010 000,253 737,3 967 583,14 536 263
D14A,0,2 795 560,Unknown,Unknown,322 931,2 472 629,Unknown
D14B,0,1 914 210,Unknown,Unknown,0,1 914 210,Unknown
D14C,0,3 544 720,Unknown,Unknown,284 345,3 260 375,Unknown
D14D,0,2 202 940,Unknown,Unknown,459 266,1 743 674,Unknown
D14E,0,1 058 850,Unknown,Unknown,360 197,698 653,Unknown
D14F,0,2 667 960,Unknown,Unknown,53 790,2 614 170,Unknown
D14G,0,3 685 780,Unknown,Unknown,55 400,3 630 380,Unknown
D14H,1,1 830 850,5 130 000,110 000,557 990,1 272 860,4 462 010
D14J,0,1 375 990,Unknown,Unknown,285 774,1 090 216,Unknown
D14K,1,2 005 860,12 700 000,1 180 000,261 051,1 744 809,11 258 949
D15H,0,2 305 520,Unknown,Unknown,1 941,2 303 579,Unknown
D18K,0,8 279 440,Unknown,Unknown,11 872,8 267 568,Unknown
D21D,0,3 622 240,Unknown,Unknown,4 011,3 618 229,Unknown
D21E,0,3 736 610,Unknown,Unknown,370 000,3 366 610,Unknown
D21F,0,6 614 550,Unknown,Unknown,349 784,6 264 766,Unknown
D21G,0,4 167 420,Unknown,Unknown,21 350,4 146 070,Unknown
D22A,1,7 262 960,22 100 000,990 000,91 913,7 171 047,21 018 087
D22B,0,6 512 140,Unknown,Unknown,5 260,6 506 880,Unknown
D22D,0,6 070 930,Unknown,Unknown,289 477,5 781 453,Unknown
D22G,0,11 688 200,Unknown,Unknown,155 563,11 532 637,Unknown
D22L,0,2 999 730,Unknown,Unknown,127 160,2 872 570,Unknown
D23C,0,7 583 560,Unknown,Unknown,81 800,7 501 760,Unknown
D23D,1,3 994 420,18 000 000,2 050 000,0,3 994 420,15 950 000
D23G,0,1 515 270,Unknown,Unknown,2 084,1 513 186,Unknown
D23H,0,3 177 460,Unknown,Unknown,591 444,2 586 016,Unknown
D23J,0,2 543 520,Unknown,Unknown,236 809,2 306 711,Unknown
D24A,0,1 684 430,Unknown,Unknown,33 184,1 651 246,Unknown
D24B,0,2 890 820,Unknown,Unknown,90 000,2 800 820,Unknown
D24C,1,1 943 060,6 550 000,6 230 000,251 779,1 691 281,68 221
D24D,0,2 419 220,Unknown,Unknown,18 832,2 400 388,Unknown
D24E,0,2 355 890,Unknown,Unknown,261 765,2 094 125,Unknown
D24F,0,3 002 430,Unknown,Unknown,0,3 002 430,Unknown
D24G,1,3 279 000,8 260 000,350 000,0,3 279 000,7 910 000
D24H,1,3 618 340,10 550 000,120 000,362 967,3 255 373,10 067 033
D24J,0,3 938 970,Unknown,Unknown,765 823,3 173 147,Unknown
D24K,0,4 522 400,Unknown,Unknown,967 418,3 554 982,Unknown
D24L,0,2 373 430,Unknown,Unknown,490 541,1 882 889,Unknown
D31A,1,2 631 960,23 000 000,670 000,1 284 784,1 347 176,21 045 216
D31B,0,1 477 540,Unknown,Unknown,223 240,1 254 300,Unknown
D31C,0,1 736 980,Unknown,Unknown,53 400,1 683 580,Unknown
D31D,0,4 156 020,Unknown,Unknown,1 069 048,3 086 972,Unknown
D31E,0,3 063 770,Unknown,Unknown,71 312,2 992 458,Unknown
D32A,0,2 652 420,Unknown,Unknown,400 850,2 251 570,Unknown
D32B,0,2 734 410,Unknown,Unknown,1 240 655,1 493 755,Unknown
D32C,0,2 540 180,Unknown,Unknown,305 255,2 234 925,Unknown
D32D,0,2 742 310,Unknown,Unknown,0,2 742 310,Unknown
D32E,0,2 119 220,Unknown,Unknown,240 088,1 879 132,Unknown
D32F,1,2 851 670,29 000 000,310 000,401 543,2 450 127,28 288 457
D32G,0,2 140 820,Unknown,Unknown,2 332 257,- 191 437,Unknown
D32H,0,1 420 260,Unknown,Unknown,385 186,1 035 074,Unknown
D32J,0,2 642 610,Unknown,Unknown,136 199,2 506 411,Unknown
D32K,0,2 009 300,Unknown,Unknown,118 400,1 890 900,Unknown
D33A,0,1 827 140,Unknown,Unknown,119 982,1 707 158,Unknown
D33B,0,3 077 890,Unknown,Unknown,396 910,2 680 980,Unknown
D33C,0,2 270 650,Unknown,Unknown,161 239,2 109 411,Unknown
D33D,0,2 363 940,Unknown,Unknown,10 000,2 353 940,Unknown
D33E,0,2 911 540,Unknown,Unknown,551 855,2 359 685,Unknown
D33F,0,2 066 860,Unknown,Unknown,17 720,2 049 140,Unknown
D33G,1,3 043 990,10 530 000,70 000,23 000,3 020 990,10 437 000
D33H,0,2 111 540,Unknown,Unknown,32 000,2 079 540,Unknown
D33J,0,1 767 520,Unknown,Unknown,106 500,1 661 020,Unknown
D33K,0,1 110 230,Unknown,Unknown,152 326,957 904,Unknown
D34A,0,3 104 630,Unknown,Unknown,1 703 273,1 401 357,Unknown
D34B,0,2 293 860,Unknown,Unknown,826 026,1 467 834,Unknown
D34C,0,2 077 700,Unknown,Unknown,930 476,1 147 224,Unknown
D34D,0,1 744 210,Unknown,Unknown,230 400,1 513 810,Unknown
D34E,0,1 941 350,Unknown,Unknown,478 476,1 462 874,Unknown
D34F,1,1 611 330,6 690 000,180 000,397 872,1 213 458,6 112 128
D34G,0,1 636 010,Unknown,Unknown,1 331 452,304 558,Unknown
D35A,0,1 633 900,Unknown,Unknown,379 994,1 253 906,Unknown
D35B,0,887 400,Unknown,Unknown,185 750,701 650,Unknown
D35C,0,3 126 060,Unknown,Unknown,804 227,2 321 833,Unknown
D35D,0,2 071 780,Unknown,Unknown,275 340,1 796 440,Unknown
D35E,0,1 196 430,Unknown,Unknown,505 090,691 340,Unknown
D35F,0,2 570 350,Unknown,Unknown,461 674,2 108 676,Unknown
D35G,1,1 874 490,5 490 000,470 000,2 072 809,- 198 319,2 947 191
D35H,0,1 956 890,Unknown,Unknown,292 361,1 664 529,Unknown
D35J,0,3 636 220,Unknown,Unknown,1 254 146,2 382 074,Unknown
D35K,0,2 641 450,Unknown,Unknown,798 634,1 842 816,Unknown
D42A,0,3 181 740,Unknown,Unknown,149 894,3 031 846,Unknown
D42B,0,104 357,Unknown,Unknown,28 900,75 457,Unknown
D42D,0,3 187 060,Unknown,Unknown,2 183 232,1 003 828,Unknown
D42E,0,264 774,Unknown,Unknown,0,264 774,Unknown
D51A,0,3 133 440,Unknown,Unknown,985 565,2 147 875,Unknown
D51B,0,1 795 230,Unknown,Unknown,392 100,1 403 130,Unknown
D51C,0,874 693,Unknown,Unknown,0,874 693,Unknown
D52A,0,1 659 130,Unknown,Unknown,121 620,1 537 510,Unknown
D52B,0,1 950 680,Unknown,Unknown,361 770,1 588 910,Unknown
D52C,0,585 307,Unknown,Unknown,209 981,375 326,Unknown
D52D,0,1 239 000,Unknown,Unknown,36 150,1 202 850,Unknown
D52E,0,741 933,Unknown,Unknown,127 284,614 649,Unknown
D52F,0,1 108 080,Unknown,Unknown,1 500,1 106 580,Unknown
D53A,0,968 402,Unknown,Unknown,0,968 402,Unknown
D53B,0,616 591,Unknown,Unknown,52 692,563 899,Unknown
D53C,0,841 752,Unknown,Unknown,304 986,536 766,Unknown
D53D,1,19 435,130 000,280 000,0,19 435,- 150 000
D53E,0,114 772,Unknown,Unknown,0,114 772,Unknown
D53F,0,985 510,Unknown,Unknown,1 015 037,-29 527,Unknown
D53G,1,45 160,290 000,230 000,0,45 160,60 000
D53H,0,98 670,Unknown,Unknown,0,98 670,Unknown
D53J,0,17 237,Unknown,Unknown,0,17 237,Unknown
D54A,0,1 471 350,Unknown,Unknown,3 784,1 467 566,Unknown
D54B,1,5 369 840,7 460 000,1 400 000,1 728 017,3 641 823,4 331 983
D54C,1,708 147,700 000,140 000,108 097,600 050,451 903
D54D,1,2 872 860,3 180 000,3 160 000,49 750,2 823 110,-29 750
D54E,1,1 987 940,1 570 000,670 000,640 260,1 347 680,259 740
D54F,0,1 385 160,Unknown,Unknown,103 403,1 281 757,Unknown
D54G,0,2 307 550,Unknown,Unknown,0,2 307 550,Unknown
D55A,0,5 663 740,Unknown,Unknown,285 250,5 378 490,Unknown
D55B,0,2 274 310,Unknown,Unknown,118 700,2 155 610,Unknown
D55C,0,1 947 080,Unknown,Unknown,686 500,1 260 580,Unknown
D55D,0,3 281 100,Unknown,Unknown,783 211,2 497 889,Unknown
D55E,0,3 051 530,Unknown,Unknown,619 103,2 432 427,Unknown
D55F,0,3 721 170,Unknown,Unknown,57 000,3 664 170,Unknown
D55G,0,1 637 710,Unknown,Unknown,7 312,1 630 398,Unknown
D55H,0,1 473 670,Unknown,Unknown,182 593,1 291 077,Unknown
D55J,0,2 406 500,Unknown,Unknown,2 050,2 404 450,Unknown
D55K,0,1 394 780,Unknown,Unknown,12 375,1 382 405,Unknown
D55L,0,516 974,Unknown,Unknown,729 500,- 212 526,Unknown
D55M,0,1 113 200,Unknown,Unknown,18 000,1 095 200,Unknown
D56A,0,1 381 690,Unknown,Unknown,64 000,1 317 690,Unknown
D56B,1,1 208 800,6 890 000,90 000,242 750,966 050,6 557 250
D56C,0,2 221 480,Unknown,Unknown,8 000,2 213 480,Unknown
D56D,0,1 059 930,Unknown,Unknown,22 500,1 037 430,Unknown
D56E,0,1 238 490,Unknown,Unknown,0,1 238 490,Unknown
D56F,0,1 614 960,Unknown,Unknown,209 000,1 405 960,Unknown
D56G,0,1 025 750,Unknown,Unknown,0,1 025 750,Unknown
D56H,0,928 141,Unknown,Unknown,4 500,923 641,Unknown
D56J,0,1 612 570,Unknown,Unknown,62 360,1 550 210,Unknown
D57A,0,231 334,Unknown,Unknown,0,231 334,Unknown
D57B,0,969 119,Unknown,Unknown,54 000,915 119,Unknown
D57C,0,0,Unknown,Unknown,144 000,- 144 000,Unknown
D57D,0,601 447,Unknown,Unknown,478 600,122 847,Unknown
D57E,0,403 104,Unknown,Unknown,0,403 104,Unknown
D58A,0,169 717,Unknown,Unknown,107 100,62 617,Unknown
D58B,0,1 001 940,Unknown,Unknown,769 292,232 648,Unknown
D58C,0,865 550,Unknown,Unknown,22 500,843 050,Unknown
D61A,0,4 601 030,Unknown,Unknown,1 906 735,2 694 295,Unknown
D61B,0,4 324 640,Unknown,Unknown,293 220,4 031 420,Unknown
D61C,0,4 014 320,Unknown,Unknown,179 163,3 835 157,Unknown
D61D,0,2 226 760,Unknown,Unknown,279 670,1 947 090,Unknown
D61E,0,3 063 330,Unknown,Unknown,653 821,2 409 509,Unknown
D61F,0,1 945 560,Unknown,Unknown,172 500,1 773 060,Unknown
D61G,0,1 746 120,Unknown,Unknown,191 650,1 554 470,Unknown
D61H,0,3 018 390,Unknown,Unknown,74 401,2 943 989,Unknown
D61J,0,3 545 480,Unknown,Unknown,139 800,3 405 680,Unknown
D61K,0,3 843 060,Unknown,Unknown,4 500,3 838 560,Unknown
D61L,0,3 643 410,Unknown,Unknown,80 000,3 563 410,Unknown
D61M,0,2 836 710,Unknown,Unknown,76 500,2 760 210,Unknown
D62A,0,5 638 310,Unknown,Unknown,451 490,5 186 820,Unknown
D62B,0,7 131 760,Unknown,Unknown,102 000,7 029 760,Unknown
D62C,0,7 735 140,Unknown,Unknown,170 640,7 564 500,Unknown
D62D,1,8 031 690,28 570 000,1 080 000,6 348 218,1 683 472,21 141 782
D62E,0,5 282 660,Unknown,Unknown,240 600,5 042 060,Unknown
D62F,0,4 644 910,Unknown,Unknown,289 440,4 355 470,Unknown
