wsa,chemical,microbiological,physical,monitoring
Umgungundlovu,92%,88%,94%,96%
Uthukela,36%,15%,81%,81%
Umzinyathi,71%,49%,85%,52%
Amajuba,73%,91%,75%,92%
Zululand,60%,73%,77%,57%
Umkhanyakude,45%,58%,78%,77%
Uthungulu,60%,58%,80%,76%
iLembe,71%,59%,75%,86%
Mopani,50%,39%,95%,70%
Vhembe,65%,46%,79%,50%
Capricorn,54%,67%,79%,51%
Ngaka Modiri Molema,73%,66%,83%,51%
Dr Ruth Segomotsi Mompati,72%,58%,73%,78%
Sisonke,43%,36%,83%,68%
Alfred Nzo,70%,49%,85%,38%
Sekhukhune,46%,31%,64%,64%
