model,split,MAE,RMSE,R2,MAPE_pct,selection_stage,rank_by_RMSE
Ridge Regression,validation,9.950300786372866,13.323311926097212,0.6021341572234844,25.808723498647296,validation,1
Extra Trees,validation,8.591022727272728,13.420557236347934,0.5963050080462164,24.49225185954467,validation,2
Gradient Boosting,validation,9.166318427041285,13.69286771009881,0.5797564182406545,26.402664313531183,validation,3
Random Forest,validation,9.085795454545456,13.926289692602,0.565306531501806,25.06444876308937,validation,4
HistGradientBoosting,validation,11.003799696772775,14.40101085797621,0.5351656430208873,29.485000477313903,validation,5
Dummy Baseline,validation,17.12181818181818,21.16145273411497,-0.0036983773270355,48.41739211236815,validation,6
