feature,importance_mean,importance_std,importance
water_access_rate_pct,2.674281252029127,1.072935387300126,2.674281252029127
water_access_gap_pct,2.4592557534783235,0.9777579254943136,2.4592557534783235
rural_population_share_pct,0.5450940269009845,0.5909519732960737,0.5450940269009845
urban_population_share_pct,0.1931551015131797,0.2669898359912713,0.1931551015131797
rural_population,0.1296148637551692,0.1324314240584085,0.1296148637551692
rural_population_with_access_to_water,0.0342376883203952,0.0514386743565182,0.0342376883203952
population,0.0127134687573379,0.0699009756076323,0.0127134687573379
wsa_name,-2.7533531010703887e-15,8.837263695108356e-16,-2.7533531010703887e-15
population_with_access_to_water,-0.018611390203388,0.0320921502935403,-0.018611390203388
urban_population,-0.07768005532416,0.0234181450786821,-0.07768005532416
urban_population_with_access_to_water,-0.0858846803831787,0.0395652839078664,-0.0858846803831787
log_population,-0.0921888809249254,0.0599367728698379,-0.0921888809249254
