"'DateTime","'High","'Moderately High","'Normal","'Moderately Low","'Low","'Very Low","'2018/2019","'2019/2020"
"'2015-11-18 00:00:00",,,,,,,78.06321210717223,63.27820158264424
"'2015-11-25 00:00:00",,,,,,,78.1001463006175,62.24260800988076
"'2015-12-02 00:00:00",,,,,,,78.7892827773015,61.330211670705594
"'2015-12-09 00:00:00",,,,,,,79.50370809311539,60.47276392025711
"'2015-12-15 00:00:00",98.3,85.55250000000001,81.77,79,70.19999999999999,58.3
"'2015-12-16 00:00:00",,,,,,,80.4611560308886,59.49670839221054
"'2015-12-23 00:00:00",,,,,,,81.44130148230062,58.59614473208505
"'2015-12-30 00:00:00",,,,,,,81.98766529066242,57.72102601503468
"'2016-01-06 00:00:00",,,,,,,82.50490010284128,56.692582002963476
"'2016-01-13 00:00:00",,,,,,,82.85185673154555,55.532854572940195
"'2016-01-15 00:00:00",97.4,86.7,83.882,81.4,77.01,58.512
"'2016-01-20 00:00:00",,,,,,,83.11851349081516,55.11627558465611
"'2016-01-27 00:00:00",,,,,,,82.78257780064527,55.09819874779659
"'2016-02-03 00:00:00",,,,,,,82.68504405565544,55.45321034007558
"'2016-02-10 00:00:00",,,,,,,82.51907434106964,54.79310919720737
"'2016-02-15 00:00:00",98.7,87.44,86.17,83.76,79.86,58.8
"'2016-02-17 00:00:00",,,,,,,81.89578250849048,54.27150347456162
"'2016-02-24 00:00:00",,,,,,,81.12615883763755,54.358547034430906
"'2016-03-02 00:00:00",,,,,,,80.61395057249561,54.2323838258829
"'2016-03-09 00:00:00",,,,,,,79.99609115721104,54.00771902788454
"'2016-03-15 00:00:00",94.56,90.43,87.43199999999999,84.094,79.535,64.728
"'2016-03-16 00:00:00",,,,,,,79.66109209071264,54.60547225502139
"'2016-03-23 00:00:00",,,,,,,79.64048636994012,55.329357469917205
"'2016-03-30 00:00:00",,,,,,,80.28020033755918,55.27756218088451
"'2016-04-06 00:00:00",,,,,,,80.58647627813227,55.2306997765216
"'2016-04-13 00:00:00",,,,,,,80.38416556509316,55.32938869070626
"'2016-04-15 00:00:00",93.9,90.1825,88.428,83.09,79.14,68.127
"'2016-04-20 00:00:00",,,,,,,79.91117061099709,55.10497365902028
"'2016-04-27 00:00:00",,,,,,,79.42412630182886,54.816743334517646
"'2016-05-04 00:00:00",,,,,,,78.94145290312751,54.52055170880745
"'2016-05-11 00:00:00",,,,,,,78.28019659106448,54.40428549038806
"'2016-05-15 00:00:00",93.5,89.795,88.082,82.012,77.25,68.40599999999999
"'2016-05-18 00:00:00",,,,,,,77.76911227432835,54.49629315571619
"'2016-05-25 00:00:00",,,,,,,77.18934222168384,54.35820360575138
"'2016-06-01 00:00:00",,,,,,,76.52839811751132,54.06344813633744
"'2016-06-08 00:00:00",,,,,,,76.29736427854688,53.7068130630279
"'2016-06-15 00:00:00",95.6,89.2475,88.078,80.09,75.7625,67.528,75.7669230726002,53.50138027108387
"'2016-06-22 00:00:00",,,,,,,75.48687259482847,53.41074632047391
"'2016-06-29 00:00:00",,,,,,,75.14000962849134,53.212213322909754
"'2016-07-06 00:00:00",,,,,,,74.71009936328322,52.9722815590663
"'2016-07-13 00:00:00",,,,,,,74.17653607843162,52.68323949404839
"'2016-07-15 00:00:00",93.93,88.595,87.006,82.13,74.09,66.288
"'2016-07-20 00:00:00",,,,,,,73.91147157940352,52.399910833426475
"'2016-07-27 00:00:00",,,,,,,73.84809337763355,52.72129763589941
"'2016-08-03 00:00:00",,,,,,,73.9835916021073,53.463603116334276
"'2016-08-10 00:00:00",,,,,,,73.65327565396626,53.684271653334356
"'2016-08-15 00:00:00",93.6,87.265,85.854,81.848,72.465,65.088
"'2016-08-17 00:00:00",,,,,,,73.26395241452217,53.68589513436491
"'2016-08-24 00:00:00",,,,,,,72.75068264255256,53.724327925684534
"'2016-08-31 00:00:00",,,,,,,72.23772507847346,53.628917194350045
"'2016-09-07 00:00:00",,,,,,,71.94674732453448,53.24352777432615
"'2016-09-14 00:00:00",,,,,,,71.41006196077795,52.691200795255945
"'2016-09-15 00:00:00",93.7,86.0675,83.606,80.464,70.3525,62.996
"'2016-09-21 00:00:00",,,,,,,71.11221563324814,52.08973229422222
"'2016-09-28 00:00:00",,,,,,,70.15404961732679,51.49997158908197
"'2016-10-05 00:00:00",,,,,,,69.32669870752177,50.85214021631012
"'2016-10-12 00:00:00",,,,,,,68.32482358693149,50.2689358768702
"'2016-10-15 00:00:00",90.99,85.45,81.302,77.048,67.425,60.566
"'2016-10-19 00:00:00",,,,,,,67.40131264685478,49.62897214293876
"'2016-10-26 00:00:00",,,,,,,66.4159845444606,49.13621442937451
"'2016-11-02 00:00:00",,,,,,,65.48498061501208,48.541146190095894
"'2016-11-09 00:00:00",,,,,,,64.49746705738444,48.420321736475316
"'2016-11-15 00:00:00",97.01,84.87,80.97999999999999,74.6,63.627500000000005,58.608999999999995
"'2016-11-16 00:00:00",,,,,,,63.583010146132025,49.16621760765084
"'2016-11-23 00:00:00",,,,,,,62.51619578431931,49.673243221810594
"'2016-11-30 00:00:00",,,,,,,61.55865418417893,49.775834734626415
"'2016-12-07 00:00:00",,,,,,,60.75908977662774,49.54267788200665
"'2016-12-14 00:00:00",,,,,,,59.75690244814695,49.35154421144717
"'2016-12-15 00:00:00",98.3,85.27000000000001,81.522,77.744,60.504999999999995,57.842
"'2016-12-21 00:00:00",,,,,,,58.84619203158046,49.43206262640517
"'2016-12-28 00:00:00",,,,,,,57.97107331453009,49.261128806360546
"'2017-01-04 00:00:00",,,,,,,57.09595459747974,49.6852944463836
"'2017-01-11 00:00:00",,,,,,,55.68415051667284,51.64249449109178
"'2017-01-15 00:00:00",97.4,86.27,83.8,81.29,62.092499999999994,55.82
"'2017-01-18 00:00:00",,,,,,,55.15464593439763,53.52370313525409
"'2017-01-25 00:00:00",,,,,,,55.02039654148587,54.77334643773919
"'2017-02-01 00:00:00",,,,,,,55.59770015179548,55.55043187717492
"'2017-02-08 00:00:00",,,,,,,55.01477679945701,56.63847637554114
"'2017-02-15 00:00:00",98.7,87.3,86.10799999999999,82.49199999999999,76.09,58.498000000000005,54.36604002380273,59.055371318210405
"'2017-02-22 00:00:00",,,,,,,54.24412284256543,64.11104735132193
"'2017-03-01 00:00:00",,,,,,,54.30684540776537,72.72445717975118
"'2017-03-08 00:00:00",,,,,,,53.983335591637086,74.6080073830922
"'2017-03-15 00:00:00",94.56,90.2475,86.81,83.412,79.01,64.791,54.438753241498425,75.06333137058641
"'2017-03-22 00:00:00",,,,,,,55.31034400938621,74.7241487183554
"'2017-03-29 00:00:00",,,,,,,55.320147337147674,74.51318984674964
"'2017-04-05 00:00:00",,,,,,,55.18951955576563,74.02573966732376
"'2017-04-12 00:00:00",,,,,,,55.35136812619692,73.68368470250023
"'2017-04-15 00:00:00",93.9,90.07499999999999,87.8,82.28200000000001,78.66749999999999,68.187
"'2017-04-19 00:00:00",,,,,,,55.15046234866503,73.85415021070911
"'2017-04-26 00:00:00",,,,,,,54.852147709299494,73.32567591447253
"'2017-05-03 00:00:00",,,,,,,54.57206601073871,73.08983407399452
"'2017-05-10 00:00:00",,,,,,,54.374344753689826,73.05199447766682
"'2017-05-15 00:00:00",93.5,89.7225,87.558,80.896,76.7,68.44
"'2017-05-17 00:00:00",,,,,,,54.50553450927477,73.48771180963811
"'2017-05-24 00:00:00",,,,,,,54.39192205792456,73.33629098274926
"'2017-05-31 00:00:00",,,,,,,54.11674202324451,73.0888037879559
"'2017-06-07 00:00:00",,,,,,,53.754612091062306,72.79804457954026
"'2017-06-14 00:00:00",,,,,,,53.506094610230306,72.55739473754869
"'2017-06-15 00:00:00",95.6,89.1,87.1,79.63,75.285,67.58800000000001
"'2017-06-21 00:00:00",,,,,,,53.434661444885634,72.32785949645863
"'2017-06-28 00:00:00",,,,,,,53.24652497007488,72.06660393369454
"'2017-07-05 00:00:00",,,,,,,53.00653076465333,71.73269759481286
"'2017-07-12 00:00:00",,,,,,,52.733910834675314,71.36700849267903
"'2017-07-15 00:00:00",93.93,88.38250000000001,86.85999999999999,80.978,73.6325,66.381
"'2017-07-19 00:00:00",,,,,,,52.426791932797876,71.0248286446993
"'2017-07-26 00:00:00",,,,,,,52.57830642205386,70.53388173689991
"'2017-08-02 00:00:00",,,,,,,53.4068125010537,70.0833657509193
"'2017-08-09 00:00:00",,,,,,,53.686425887778746,69.6591064485291
"'2017-08-15 00:00:00",93.6,86.955,85.70600000000002,81.572,71.825,65.151
"'2017-08-16 00:00:00",,,,,,,53.68249206835854,69.1662550725977
"'2017-08-23 00:00:00",,,,,,,53.71602319579743,68.61227339170789
"'2017-08-30 00:00:00",,,,,,,53.67178333771465,68.17102998007489
"'2017-09-06 00:00:00",,,,,,,53.31483605651462,67.66025787122923
"'2017-09-13 00:00:00",,,,,,,52.780211264835344,67.04642593773201
"'2017-09-15 00:00:00",93.7,85.94749999999999,83.258,78.8,69.43,63.181
"'2017-09-20 00:00:00",,,,,,,52.167940370790575,66.31973085182176
"'2017-09-27 00:00:00",,,,,,,51.59940980220381,65.47926721061607
"'2017-10-04 00:00:00",,,,,,,50.92753842186405,65.02500472994954
"'2017-10-11 00:00:00",,,,,,,50.37212058467796,64.91164204491173
"'2017-10-15 00:00:00",90.99,84.63499999999999,80.94,74.684,65.9325,60.92400000000001
"'2017-10-18 00:00:00",,,,,,,49.69103907156867,64.88344967240026
"'2017-10-25 00:00:00",,,,,,,49.227379133398316,64.23093518127104
"'2017-11-01 00:00:00",,,,,,,48.61076854967571,63.392344787408284
"'2017-11-08 00:00:00",,,,,,,48.306678064336054,62.52396976079256
"'2017-11-15 00:00:00",97.01,84.8025,79.06800000000001,73.866,62.644999999999996,58.657,49.077394462805735,61.638797949668344
"'2017-11-22 00:00:00",,,,,,,49.6418663288161,61.221750649548525
"'2017-11-29 00:00:00",,,,,,,49.80305926267736,60.84329224469356
"'2017-12-06 00:00:00",,,,,,,49.59122620897823,60.6718901128132
"'2017-12-13 00:00:00",,,,,,,49.32569339811439,60.92050125601234
"'2017-12-15 00:00:00",98.3,84.07499999999999,81.332,77.026,60.302499999999995,57.997
"'2017-12-20 00:00:00",,,,,,,49.45647728344168,61.022593236203384
