Region,Time Frame,,Households served with water 1994 to April 2025,Households served with water 201415,Households served with water 201516,Households served with water 201617,Households served with water 201718,Households served with water 201819,Households served with water 201920,Households served with water 202021,Households served with water 202122,Households served with water 202223,Households served with water 202324,Households served with water 202425,Households served with water 202526,Planned Households to be served 202627
City of Johannesburg Metropolitan Municipality,April 2026,,653 974,276,22 986,14 316,35 909,23 781,11 412,11 653,0,9 810,3 077,20 334,5 912,2 762
City of Tshwane Metropolitan Municipality,April 2026,,370 255,18,11 244,10 653,19 806,14 583,8 630,8 355,0,5 835,8 976,13 803,4 187,2 394
Ekurhuleni Metropolitan Municipality,April 2026,,517 293,190,9 227,14 617,25 932,18 215,10 356,8 200,0,6 886,7 704,16 217,4 679,2 940
Emfuleni,April 2026,,121 764,0,726,807,4 759,3 174,1 774,1 600,0,1 324,1 674,3 693,968,1 016
Lesedi,April 2026,,13 756,98,420,251,532,479,265,287,0,201,259,458,140,63
Merafong City,April 2026,,28 284,0,2,612,1 433,977,571,589,0,398,197,836,238,155
Midvaal,April 2026,,12 489,0,525,366,104,441,251,268,0,185,113,519,108,73
Mogale City,April 2026,,48 199,0,736,754,2 158,1 778,1 021,935,0,743,561,1 675,475,220
Rand West City ,April 2026,,27 558,0,85,690,1 096,1 225,696,774,0,512,675,1 495,424,690
Gauteng,April 2026,,1 793 572,582,45 951,43 066,91 729,64 653,34 976,32 661,0,25 894,23 236,59 030,17 131,10 313
"<b>Subject Area: Access to Basic Services</b><br />Access to Basic Services focuses on the status of people/households with access to RDP level and above Water Supply infrastructure, progress made since 1994 and the remaining challenges to ensure that all citizens have access to basic water supply infrastructure by the end of 2014. This theme focusses primarily on access to infrastructure and, in some cases such as Access to and above RDP level services, also presents the results of Census 2011 and considers the functionality/reliability of the infrastructure.<br /><br /><b>Data Topic : DWS Access to Infrastructure Data</b><br />DWS Access to Infrastructure Data<br /><br /><b>Data Topic Detail:</b> Households Served with Water<br />The total number of households served with access to water supply infrastructure from 1994 to April of the current year as well as the estimated number of households to be served with water supply infrastructure during the current financial year.",,<b>Data Source:</b> Census 2011 Modelled and Updated <br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent,,,,,,,,,,,,,,
