model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__l2_regularization,param_model__max_iter,param_model__max_leaf_nodes
Random Forest,0.5966956138610839,0.17532829442489736,0.08513550758361817,0.025310252522352576,,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.461456168256994,-13.055404170390288,-9.62234635291365,-20.50419577367908,-11.15007790842448,-13.158696074732898,3.831134939881151,23,4,sqrt,1.0,200.0,,,,
Random Forest,1.505749797821045,0.3587727599563647,0.1725306034088135,0.03456149691689525,,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-11.780417817287926,-12.991778389799832,-9.543829180843087,-20.514053327971403,-11.11481799095689,-13.188979341371828,3.828025801688021,24,4,sqrt,1.0,400.0,,,,
Random Forest,0.5794399738311767,0.17013439342846892,0.07287487983703614,0.0075680254593494456,,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-11.825284427329843,-13.968757565502008,-11.15692967694684,-20.66166164870682,-12.005568130731515,-13.923640289843405,3.4968486713005493,30,4,sqrt,2.0,200.0,,,,
Random Forest,0.9314651966094971,0.011166609594340892,0.1194237232208252,0.004370801877599643,,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",-11.869876195780362,-13.859195658208426,-10.857666517151404,-20.55762709349022,-12.087526911937422,-13.846378475313566,3.4920922538503345,29,4,sqrt,2.0,400.0,,,,
Random Forest,0.48838276863098146,0.018723284448079247,0.0699355125427246,0.002557818580347139,,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 200}",-11.711492550647492,-14.844443858103286,-11.830168594544226,-20.866394194981698,-12.91247137598795,-14.432994114852928,3.4073798829825246,36,4,sqrt,4.0,200.0,,,,
Random Forest,0.9307548522949218,0.019811234960411834,0.11697969436645508,0.0054567271241599035,,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 400}",-11.82344157339274,-14.495424750322591,-11.443915352903803,-20.826483642129233,-12.630824430954053,-14.244017949940485,3.455263169324521,33,4,sqrt,4.0,400.0,,,,
Random Forest,0.5571738719940186,0.01643332280101453,0.07354865074157715,0.0087326816691677,,"{'model__max_depth': 4, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-10.731579455647209,-11.78109390432046,-10.101971463764185,-20.72881888882523,-9.973667634856502,-12.663426269482718,4.083061421364336,7,4,0.7,1.0,200.0,,,,
Random Forest,1.7088816165924072,0.31207000841966714,0.18940563201904298,0.046975361646018364,,"{'model__max_depth': 4, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-10.943119570565466,-11.732510595160214,-9.83961837929417,-20.738535136941188,-10.209901822399898,-12.692737100872186,4.074869812430472,8,4,0.7,1.0,400.0,,,,
Random Forest,0.5588186740875244,0.022330533802857117,0.07130770683288574,0.0020638755791279905,,"{'model__max_depth': 4, 'model__max_features': 0.7, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-10.838520696217532,-11.92247578711126,-10.469262422940623,-20.48276123652763,-9.885307732990563,-12.71966557515752,3.9379631939943747,10,4,0.7,2.0,200.0,,,,
Random Forest,1.0740739822387695,0.010821772825935898,0.12025279998779297,0.009643876863613983,,"{'model__max_depth': 4, 'model__max_features': 0.7, 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",-11.118433991922808,-11.893975842188244,-10.287056888766797,-20.585014444465973,-9.925103067581032,-12.76191684698497,3.9705832753944748,12,4,0.7,2.0,400.0,,,,
