Model,MAE,RMSE,R2,MAPE
Linear Regression,1.6704314019003645,8.86852750723216,0.9093317019665744,0.1623283491433371
Ridge Regression,1.6660128397724638,8.872268276624416,0.9092551975581242,0.16047728376909115
Random Forest,2.2226072769952983,10.202576011899467,0.880002525228451,0.18456167953452063
Extra Trees,1.9290106416275368,9.638666099723089,0.8929007818641039,0.13348197354843686
Gradient Boosting,1.9224280308852386,9.728180178473018,0.8909022886381217,0.1303114123414309
