training_rows,training_fraction,train_RMSE,validation_RMSE
61,0.5,11.03651806565304,11.895521482376951
85,0.7,10.516298979433317,12.766555425342665
103,0.85,10.882445545639168,10.3339737919161
122,1.0,11.016030609855981,10.441840838715285
