dataset,category,matched_count,matched_columns
Outputs/FeatureEngineering/Potable_Systems__2026_04_21_engineered.csv,population_demand,4,"population_in_system, households_in_system, households_with_access_to_rdp_water, households_with_access_to_reliable_water"
Outputs/FeatureEngineering/Potable_Systems__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Protests_Identified_by_Municipal_IQ__2026_04_21_engineered.csv,water_system,3,"water, water_change, water_pct_change"
Outputs/FeatureEngineering/Protests_Identified_by_Municipal_IQ__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Protests_Identified_by_Municipal_IQ__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Residential_Tariffs__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Residential_Tariffs__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Source_of_Water_Households___2026_04_21_engineered.csv,water_system,5,"regional_local_water_scheme__operated_by_municipality_or_other_w, rain_water_tank, dam_pool_stagnant_water, water_vendor, water_tanker"
Outputs/FeatureEngineering/Source_of_Water_Households___2026_04_21_engineered.csv,weather,1,rain_water_tank
Outputs/FeatureEngineering/Source_of_Water_Households___2026_04_21_engineered.csv,geographic,2,"region, regional_local_water_scheme__operated_by_municipality_or_other_w"
Outputs/FeatureEngineering/Source_of_Water_Households___2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Surface_Water_Storage__2014-2020__engineered.csv,temporal,1,datetime
Outputs/FeatureEngineering/Surface_Water_Storage___2020_-2026__engineered.csv,temporal,1,datetime
Outputs/FeatureEngineering/TimeSeries_Population__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/TimeSeries_Population__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Timeseries_Households__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Timeseries_Households__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Total_Households__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Total_Households__2026_04_21_engineered.csv,population_demand,7,"total_households, total_population, hh_density, urban_households, rural_households, hh_density_change, hh_density_pct_change"
Outputs/FeatureEngineering/Total_Households__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Total_Population__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Total_Population__2026_04_21_engineered.csv,population_demand,7,"total_population, total_households, hh_density, urban_population, rural_population, hh_density_change, hh_density_pct_change"
Outputs/FeatureEngineering/Total_Population__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Vulnerability_Score_Per_leg__2026_04_21_engineered.csv,water_system,9,"1__water_services_planning, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 1__water_services_planning_change, 1__water_services_planning_pct_change, 6__water_conservation___water_demand_management__wc_wdm_change, 6__water_conservation___water_demand_management__wc_wdm_pct_change, 7__drinking_water_safety___regulatory_compliance_change, 7__drinking_water_safety___regulatory_compliance_pct_change"
Outputs/FeatureEngineering/Vulnerability_Score_Per_leg__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Vulnerability_Score_Per_leg__2026_04_21_engineered.csv,population_demand,3,"6__water_conservation___water_demand_management__wc_wdm, 6__water_conservation___water_demand_management__wc_wdm_change, 6__water_conservation___water_demand_management__wc_wdm_pct_change"
Outputs/FeatureEngineering/Vulnerability_Score_Per_leg__2026_04_21_engineered.csv,infrastructure,6,"10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets, 10__infrastructure_asset_management__iam_change, 10__infrastructure_asset_management__iam_pct_change, 11__operation___maintenance__o_m__of_assets_change, 11__operation___maintenance__o_m__of_assets_pct_change"
Outputs/FeatureEngineering/Vulnerability_Score_Per_leg__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Water_demand_growth__2026_04_21_engineered.csv,water_system,12,"water_demand_growth, non_revenue_water, water_losses, revenue_water__litres, non_revenue_water__litres, water_losses__litres, water_demand_growth_change, water_demand_growth_pct_change, non_revenue_water_change, non_revenue_water_pct_change, water_losses_change, water_losses_pct_change"
Outputs/FeatureEngineering/Water_demand_growth__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Water_demand_growth__2026_04_21_engineered.csv,population_demand,3,"water_demand_growth, water_demand_growth_change, water_demand_growth_pct_change"
Outputs/FeatureEngineering/Water_demand_growth__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Weather_engineered.csv,weather,20,"prcp, prcp_attributes, rainfall_present, rainfall_7day, rainfall_30day, rainfall_90day, rainfall_7day_mean, temperature_range, prcp_change, prcp_pct_change, rainfall_7day_change, rainfall_7day_pct_change, rainfall_30day_change, rainfall_30day_pct_change, rainfall_90day_change, rainfall_90day_pct_change, rainfall_7day_mean_change, rainfall_7day_mean_pct_change, temperature_range_change, temperature_range_pct_change"
Outputs/FeatureEngineering/Weather_engineered.csv,geographic,9,"latitude, longitude, elevation, latitude_change, latitude_pct_change, longitude_change, longitude_pct_change, elevation_change, elevation_pct_change"
Outputs/FeatureEngineering/Weather_engineered.csv,temporal,40,"date, year, month, day, day_of_year, quarter, month_sin, month_cos, rainfall_7day, rainfall_30day, rainfall_90day, rainfall_7day_mean, tmax_7day_mean, tmin_7day_mean, year_change, year_pct_change, month_change, month_pct_change, day_change, day_pct_change, day_of_year_change, day_of_year_pct_change, quarter_change, quarter_pct_change, month_sin_change, month_sin_pct_change, month_cos_change, month_cos_pct_change, rainfall_7day_change, rainfall_7day_pct_change, rainfall_30day_change, rainfall_30day_pct_change, rainfall_90day_change, rainfall_90day_pct_change, rainfall_7day_mean_change, rainfall_7day_mean_pct_change, tmax_7day_mean_change, tmax_7day_mean_pct_change, tmin_7day_mean_change, tmin_7day_mean_pct_change"
Outputs/ModellingData/Households_Served_with_Water__2026_04_21_model_ready.csv,water_system,16,"households_served_with_water_1994_to_april_2025, households_served_with_water_201415, households_served_with_water_201516, households_served_with_water_201617, households_served_with_water_201718, households_served_with_water_201819, households_served_with_water_201920, households_served_with_water_202021, households_served_with_water_202122, households_served_with_water_202223, households_served_with_water_202324, households_served_with_water_202425, households_served_with_water_202526, planned_households_to_be_served_202627, households_served_with_water_201415_change, households_served_with_water_201415_pct_change"
Outputs/ModellingData/Households_Served_with_Water__2026_04_21_model_ready.csv,geographic,1,region
