feature,importance_mean,importance_std
water_access_rate_pct,2.674281252029127,1.072935387300126
water_access_gap_pct,2.4592557534783235,0.9777579254943136
rural_population_share_pct,0.5450940269009845,0.5909519732960737
urban_population_share_pct,0.1931551015131797,0.26698983599127135
rural_population,0.12961486375516929,0.13243142405840852
rural_population_with_access_to_water,0.03423768832039524,0.05143867435651824
population,0.012713468757337943,0.06990097560763238
wsa_name,-2.7533531010703883e-15,8.837263695108355e-16
population_with_access_to_water,-0.018611390203388024,0.032092150293540386
urban_population,-0.07768005532416007,0.023418145078682135
urban_population_with_access_to_water,-0.08588468038317876,0.03956528390786649
log_population,-0.09218888092492543,0.059936772869837965
